date,rate,spread_2s10s
2023-01-03,3.50000000,0.50000000
2023-01-04,3.52021623,0.50358623
2023-01-05,3.47280109,0.51668054
2023-01-06,3.51563774,0.50191872
2023-01-07,3.56758502,0.48016269
2023-01-08,3.47401642,0.43476500
2023-01-09,3.41390920,0.45479595
2023-01-10,3.42610558,0.45370428
2023-01-11,3.41591242,0.45677423
2023-01-12,3.42083578,0.43808741
2023-01-13,3.38377604,0.46369417
2023-01-14,3.43395772,0.48289479
2023-01-15,3.47854885,0.47856078
2023-01-16,3.48700760,0.46472202
2023-01-17,3.54859864,0.45535746
2023-01-18,3.57649856,0.43635050
2023-01-19,3.53758884,0.43560777
2023-01-20,3.56064507,0.42074988
2023-01-21,3.51689777,0.43239861
2023-01-22,3.56571780,0.42320309
2023-01-23,3.56750126,0.41419410
2023-01-24,3.56250054,0.44679802
2023-01-25,3.53267325,0.42945369
2023-01-26,3.59859245,0.39373025
2023-01-27,3.59480589,0.40075280
2023-01-28,3.57732674,0.35403026
2023-01-29,3.56384100,0.35909808
2023-01-30,3.59483992,0.37988941
2023-01-31,3.61716517,0.38050532
2023-02-01,3.64164138,0.37978023
2023-02-02,3.66678303,0.33380583
2023-02-03,3.77746815,0.34540905
2023-02-04,3.75928468,0.35343630
2023-02-05,3.73597384,0.32695200
2023-02-06,3.69777249,0.36843555
2023-02-07,3.73164505,0.34070167
2023-02-08,3.79090794,0.30316307
2023-02-09,3.78725797,0.26299680
2023-02-10,3.74722732,0.26347487
2023-02-11,3.70837789,0.27080179
2023-02-12,3.74388149,0.28034168
2023-02-13,3.78368125,0.27271412
2023-02-14,3.81305385,0.25469846
2023-02-15,3.78152644,0.27318007
2023-02-16,3.79532516,0.25329566
2023-02-17,3.80319699,0.22669271
2023-02-18,3.81610617,0.25764469
2023-02-19,3.86162044,0.26149142
2023-02-20,3.87419896,0.27176360
2023-02-21,3.90948583,0.28535806
2023-02-22,3.91376819,0.27254435
2023-02-23,3.92911771,0.26067721
2023-02-24,3.96147421,0.27467442
2023-02-25,3.88878352,0.26094035
2023-02-26,3.87385107,0.26824466
2023-02-27,3.85150890,0.26614943
2023-02-28,3.82093738,0.23979704
2023-03-01,3.80890764,0.26110070
2023-03-02,3.88575982,0.23269516
2023-03-03,3.84346931,0.23793640
2023-03-04,3.89357011,0.23949388
2023-03-05,3.81023102,0.26739536
2023-03-06,3.79531109,0.24267404
2023-03-07,3.80549317,0.23079246
2023-03-08,3.83681015,0.22872550
2023-03-09,3.87408648,0.23285002
2023-03-10,3.91511289,0.25205158
2023-03-11,3.89846359,0.25887164
2023-03-12,3.87628067,0.25935466
2023-03-13,3.92052631,0.28188007
2023-03-14,3.91171763,0.32770246
2023-03-15,3.84861815,0.29736932
2023-03-16,3.79328235,0.29690593
2023-03-17,3.74921583,0.31326093
2023-03-18,3.77662225,0.31469439
2023-03-19,3.78596947,0.34575209
2023-03-20,3.82270759,0.33772901
2023-03-21,3.80303260,0.31482754
2023-03-22,3.81292716,0.33349075
2023-03-23,3.84614492,0.27197752
2023-03-24,3.83215113,0.26136895
2023-03-25,3.85671366,0.31326942
2023-03-26,3.82493497,0.31339567
2023-03-27,3.80845733,0.32080433
2023-03-28,3.79120541,0.29939415
2023-03-29,3.73329959,0.29853319
2023-03-30,3.76035222,0.29506373
2023-03-31,3.73917913,0.33556957
2023-04-01,3.74238038,0.31276961
2023-04-02,3.76903117,0.25164851
2023-04-03,3.79370309,0.26057067
2023-04-04,3.82910618,0.29454838
2023-04-05,3.82585449,0.27910173
2023-04-06,3.80634673,0.23883272
2023-04-07,3.80426082,0.21534293
2023-04-08,3.72157947,0.22511487
2023-04-09,3.65176057,0.21293949
2023-04-10,3.58886973,0.21413427
2023-04-11,3.54291998,0.16259627
2023-04-12,3.56747929,0.15178628
2023-04-13,3.52634252,0.16980306
2023-04-14,3.51205481,0.16455942
2023-04-15,3.58202312,0.14266992
2023-04-16,3.56828389,0.16654412
2023-04-17,3.60952930,0.18882145
2023-04-18,3.56656638,0.17903220
2023-04-19,3.56054312,0.16323967
2023-04-20,3.51724115,0.19193546
2023-04-21,3.50500549,0.18026712
2023-04-22,3.55203023,0.17717446
2023-04-23,3.46983364,0.21725899
2023-04-24,3.49685197,0.22159723
2023-04-25,3.51374041,0.21091529
2023-04-26,3.48874613,0.16777282
2023-04-27,3.42127854,0.16913593
2023-04-28,3.43060847,0.16780913
2023-04-29,3.40967716,0.15468868
2023-04-30,3.42717244,0.17570078
2023-05-01,3.43392296,0.14785799
2023-05-02,3.51983435,0.11381010
2023-05-03,3.51257154,0.09746390
2023-05-04,3.46605861,0.09735417
2023-05-05,3.48031947,0.06482873
2023-05-06,3.49648156,0.03959288
2023-05-07,3.56961034,0.02179879
2023-05-08,3.61573672,0.02141971
2023-05-09,3.63742578,0.00612647
2023-05-10,3.71438422,0.02777654
2023-05-11,3.65759161,-0.02091405
2023-05-12,3.62889054,-0.01194255
2023-05-13,3.58608961,-0.02507708
2023-05-14,3.57062804,-0.01492118
2023-05-15,3.50583088,0.02834234
2023-05-16,3.54255959,0.02633440
2023-05-17,3.53593161,0.03019140
2023-05-18,3.46675718,0.04805646
2023-05-19,3.42109358,0.01827966
2023-05-20,3.44252987,0.03241545
2023-05-21,3.49006195,0.04983381
2023-05-22,3.59522455,0.04623708
2023-05-23,3.74533979,0.06001813
2023-05-24,3.76863480,0.06218128
2023-05-25,3.72129705,0.04474360
2023-05-26,3.61713402,0.01531899
2023-05-27,3.63433826,0.03654088
2023-05-28,3.59718192,0.07518011
2023-05-29,3.58032974,0.05716112
2023-05-30,3.55377815,0.06464834
2023-05-31,3.55112293,0.03733701
2023-06-01,3.60900904,0.02657076
2023-06-02,3.62074415,0.01534172
2023-06-03,3.61653305,-0.00993385
2023-06-04,3.56838426,-0.01161887
2023-06-05,3.48866581,0.01015002
2023-06-06,3.46932694,0.02230467
2023-06-07,3.47186853,0.01073128
2023-06-08,3.56573720,0.04186724
2023-06-09,3.57655685,0.04636306
2023-06-10,3.63001767,0.08563307
2023-06-11,3.60863215,0.05636240
2023-06-12,3.55307500,0.12232068
2023-06-13,3.50908981,0.11765807
2023-06-14,3.47756846,0.09094252
2023-06-15,3.58946061,0.06697659
2023-06-16,3.55232377,0.08712358
2023-06-17,3.59879019,0.10653085
2023-06-18,3.55747229,0.12377537
2023-06-19,3.60855570,0.13643120
2023-06-20,3.63172375,0.11086740
2023-06-21,3.62750441,0.10710498
2023-06-22,3.62913744,0.05573235
2023-06-23,3.59996325,0.03634061
2023-06-24,3.62628112,0.05104529
2023-06-25,3.60715458,0.00967743
2023-06-26,3.54957297,0.06209776
2023-06-27,3.48993554,0.08983077
2023-06-28,3.50362533,0.06440489
2023-06-29,3.58771095,0.08029101
2023-06-30,3.59980389,0.09238494
2023-07-01,3.59780518,0.08915625
2023-07-02,3.61610861,0.10197453
2023-07-03,3.68538941,0.09590378
2023-07-04,3.69949634,0.09534416
2023-07-05,3.68185630,0.10732197
2023-07-06,3.74047319,0.11777631
2023-07-07,3.76453568,0.12512116
2023-07-08,3.84387260,0.13287793
2023-07-09,3.85460236,0.15431908
2023-07-10,3.79463505,0.17176605
2023-07-11,3.72805418,0.14582090
2023-07-12,3.81352667,0.12955193
2023-07-13,3.90180295,0.16222192
2023-07-14,3.89377008,0.19692483
2023-07-15,3.87560331,0.20933113
2023-07-16,3.95011735,0.20342247
2023-07-17,3.89509551,0.22166214
2023-07-18,3.85126382,0.23674865
2023-07-19,3.88499255,0.20278767
2023-07-20,3.86633986,0.20457474
2023-07-21,3.86740246,0.17410283
2023-07-22,3.86051534,0.16452720
2023-07-23,3.87882040,0.16582908
2023-07-24,3.95059667,0.20422362
2023-07-25,3.95562685,0.15805125
2023-07-26,3.98835605,0.15087564
2023-07-27,3.88566241,0.16657502
2023-07-28,3.88434806,0.18183048
2023-07-29,3.84320483,0.20101150
2023-07-30,3.78363366,0.17952995
2023-07-31,3.74173344,0.17719254
2023-08-01,3.72752788,0.16754852
2023-08-02,3.77614675,0.19692120
2023-08-03,3.71184283,0.19427178
2023-08-04,3.71622345,0.19506523
2023-08-05,3.69474546,0.19965341
2023-08-06,3.68132721,0.17124391
2023-08-07,3.73475763,0.18317578
2023-08-08,3.76436050,0.15936673
2023-08-09,3.83375223,0.16403564
2023-08-10,3.82764546,0.14870918
2023-08-11,3.79444792,0.17575572
2023-08-12,3.78525135,0.17711678
2023-08-13,3.79953158,0.22005727
2023-08-14,3.81036502,0.17119067
2023-08-15,3.75785896,0.20190107
2023-08-16,3.76478700,0.22113692
2023-08-17,3.77855374,0.22776913
2023-08-18,3.90698181,0.27641852
2023-08-19,4.00201690,0.24485680
2023-08-20,3.95920997,0.24956373
2023-08-21,3.94520142,0.27696744
2023-08-22,3.87235614,0.29011527
2023-08-23,3.84399441,0.28151364
2023-08-24,3.86136086,0.29552446
2023-08-25,3.92319857,0.28607827
2023-08-26,3.88739585,0.27833547
2023-08-27,3.85570440,0.26358960
2023-08-28,3.74945019,0.28665435
2023-08-29,3.74376641,0.29325105
2023-08-30,3.69301968,0.34822788
2023-08-31,3.66950062,0.36613568
2023-09-01,3.62879184,0.33271935
2023-09-02,3.62772933,0.34976245
2023-09-03,3.54326063,0.32513202
2023-09-04,3.47420246,0.31852996
2023-09-05,3.58616681,0.32114286
2023-09-06,3.52569250,0.29668147
2023-09-07,3.47537492,0.28524569
2023-09-08,3.57266825,0.27019092
2023-09-09,3.72256511,0.27314301
2023-09-10,3.66655408,0.27136317
2023-09-11,3.65137939,0.26892239
2023-09-12,3.67194858,0.30627460
2023-09-13,3.76187479,0.31779143
2023-09-14,3.71473822,0.32682138
2023-09-15,3.70525442,0.35038163
2023-09-16,3.74714465,0.39058041
2023-09-17,3.77144265,0.42029848
2023-09-18,3.75483603,0.39590765
2023-09-19,3.75054546,0.40647186
2023-09-20,3.68406201,0.42235894
2023-09-21,3.67523728,0.44230398
2023-09-22,3.66508486,0.43783536
2023-09-23,3.68003346,0.43808008
2023-09-24,3.65534443,0.41727328
2023-09-25,3.68239265,0.40798595
2023-09-26,3.73631190,0.38123616
2023-09-27,3.74670913,0.40829128
2023-09-28,3.76684880,0.39575219
2023-09-29,3.77181592,0.37422430
2023-09-30,3.77407269,0.37982855
2023-10-01,3.74011947,0.38125043
2023-10-02,3.75855593,0.36523960
2023-10-03,3.75606080,0.37269400
2023-10-04,3.86343355,0.35806370
2023-10-05,3.94367963,0.36849828
2023-10-06,3.96358439,0.36706158
2023-10-07,3.92567936,0.37100455
2023-10-08,3.87062968,0.36177168
2023-10-09,3.93163820,0.34626878
2023-10-10,3.94548895,0.35118729
2023-10-11,3.97010448,0.31594948
2023-10-12,3.88291504,0.34590203
2023-10-13,3.93057848,0.33520819
2023-10-14,3.95405128,0.38022513
2023-10-15,3.89882086,0.39405725
2023-10-16,3.87617443,0.39098928
2023-10-17,3.89062123,0.37674055
2023-10-18,3.89433199,0.38724525
2023-10-19,3.88072379,0.39643531
2023-10-20,3.87671168,0.40486481
2023-10-21,3.86529299,0.42220829
2023-10-22,3.87427321,0.42363560
2023-10-23,3.94930424,0.44755560
2023-10-24,3.82109622,0.42929561
2023-10-25,3.81098512,0.42355007
2023-10-26,3.82170244,0.43592524
2023-10-27,3.83830553,0.41746510
2023-10-28,3.82125156,0.41722663
2023-10-29,3.73492297,0.44975931
2023-10-30,3.75398746,0.45065980
2023-10-31,3.84303625,0.43891656
2023-11-01,3.76766823,0.46238371
2023-11-02,3.81327951,0.43591535
2023-11-03,3.79864841,0.42730745
2023-11-04,3.79756088,0.44946167
2023-11-05,3.74676029,0.43112426
2023-11-06,3.73248842,0.43549852
2023-11-07,3.80032163,0.43264378
2023-11-08,3.83151079,0.46577786
2023-11-09,3.92004309,0.43300407
2023-11-10,3.97987526,0.41980599
2023-11-11,4.00209251,0.41145849
2023-11-12,4.08952374,0.41852087
2023-11-13,4.11065389,0.42944726
2023-11-14,4.15108212,0.43747264
2023-11-15,4.13471876,0.46731597
2023-11-16,4.13672590,0.48053212
2023-11-17,4.10040296,0.45075069
2023-11-18,4.14903581,0.41757436
2023-11-19,4.08847701,0.40457351
2023-11-20,4.12683559,0.39192569
2023-11-21,4.11602307,0.38131988
2023-11-22,4.17361147,0.40342461
2023-11-23,4.20955096,0.38846525
2023-11-24,4.29878106,0.41184599
2023-11-25,4.33247727,0.43593028
2023-11-26,4.25036317,0.43529187
2023-11-27,4.24453423,0.42252233
2023-11-28,4.18334844,0.44959259
2023-11-29,4.15554868,0.42959237
2023-11-30,4.22979571,0.43883588
2023-12-01,4.25949723,0.44347978
