date,QQQ,SPY,IWM,TLT,GLD
D0000,0.0046991723,-0.0014080627,0.0044431102,0.0062684844,-0.0166523992
D0001,-0.0175703212,-0.0108537882,-0.0143615611,0.0023221424,-0.0084931354
D0002,0.0126635009,0.0117910918,0.0125762905,0.0070046695,0.0072333369
D0003,-0.0114324837,-0.0057778892,-0.0132077235,0.0078097493,0.0002638858
D0004,-0.0020857611,-0.0042716550,0.0039543263,-0.0004092297,-0.0038451582
D0005,-0.0044039218,-0.0004588055,0.0012051615,0.0041593018,0.0052466706
D0006,0.0301566364,0.0180385000,0.0170558805,-0.0103218585,0.0050086716
D0007,0.0161222758,0.0101372875,0.0057971328,-0.0085159719,0.0048420680
D0008,0.0107767251,0.0095252642,0.0055240619,0.0002850096,0.0019165208
D0009,0.0035069296,0.0062090798,0.0073023170,0.0051004912,0.0027166086
D0010,0.0044830087,0.0057929447,-0.0039146580,-0.0032199343,-0.0050168664
D0011,-0.0083778243,-0.0066073279,0.0026897658,-0.0044311241,0.0082928903
D0012,-0.0228461924,-0.0163400038,-0.0167953689,0.0074662454,0.0066856033
D0013,0.0114709497,0.0060613213,0.0040103077,0.0044633663,-0.0005151133
D0014,-0.0172031602,-0.0161540487,-0.0227898169,0.0051843815,0.0001615371
D0015,0.0100454180,0.0047832463,0.0067510964,0.0032259905,-0.0016599213
D0016,0.0068065002,0.0016322238,0.0000924595,-0.0040274048,-0.0120160265
D0017,0.0072249947,0.0027519724,0.0035835483,0.0024665430,0.0048999573
D0018,0.0096975613,0.0059999499,0.0039170030,-0.0020041755,-0.0156276812
D0019,-0.0195789033,-0.0185412369,-0.0257396194,0.0046790470,-0.0099669094
D0020,-0.0047646499,0.0026744311,-0.0009093947,0.0065642110,-0.0068058058
D0021,-0.0023709065,-0.0056405152,-0.0075069734,0.0060202846,-0.0156166589
D0022,0.0064967363,0.0053820037,0.0017318083,-0.0114652001,-0.0013512542
D0023,-0.0068618887,-0.0033840513,-0.0039620321,0.0128695300,0.0002914912
D0024,-0.0137081515,-0.0080998493,-0.0078420972,0.0121059189,0.0097347650
D0025,0.0054219585,0.0100628676,0.0016549550,-0.0051926919,-0.0088850341
D0026,-0.0049260656,-0.0091874707,-0.0045785001,-0.0010976481,-0.0146121411
D0027,-0.0135984126,-0.0074382638,-0.0032033997,0.0170925663,0.0304584434
D0028,0.0062193654,-0.0001914000,-0.0131688693,-0.0001992948,-0.0089186698
D0029,-0.0052801201,-0.0060601014,-0.0070526918,0.0083035123,0.0024639273
D0030,-0.0017222817,-0.0055921714,-0.0161179144,-0.0044152742,-0.0030273956
D0031,0.0249773961,0.0170063207,0.0251117740,-0.0063761031,-0.0099907910
D0032,-0.0128990706,-0.0115440681,0.0018659011,-0.0033831079,0.0070764657
D0033,-0.0120372040,-0.0037010271,-0.0027181406,0.0012314736,0.0000776692
D0034,-0.0085983140,-0.0035830958,-0.0075507575,-0.0076427247,-0.0137903436
D0035,0.0028680342,0.0088999077,0.0090794946,-0.0003507225,0.0040121159
D0036,0.0185756733,0.0132075853,0.0116493387,0.0055757995,0.0063086524
D0037,0.0217597680,0.0151329086,0.0084929653,-0.0133032623,0.0134562913
D0038,0.0243639520,0.0152437591,0.0145420860,0.0072161500,-0.0074699369
D0039,-0.0119235605,-0.0048930108,-0.0088319002,0.0018233449,-0.0015557039
D0040,0.0051545340,0.0096425844,0.0096423268,0.0047897051,-0.0165761151
D0041,-0.0001989831,-0.0037497182,-0.0112968534,-0.0071786871,-0.0057172270
D0042,0.0131694066,0.0028777954,0.0048056040,-0.0057419305,-0.0041581982
D0043,0.0143731077,0.0118571227,0.0212583240,-0.0020700667,-0.0047627741
D0044,-0.0026262011,-0.0005684559,0.0001702291,-0.0072141362,-0.0004403052
D0045,0.0036391378,0.0135272808,0.0244275776,-0.0045848697,-0.0005405415
D0046,-0.0198052093,-0.0154734595,-0.0145423905,0.0115312476,-0.0057139311
D0047,-0.0085894271,-0.0149708410,-0.0153713939,-0.0074388944,-0.0083878873
D0048,-0.0116759577,-0.0079714370,-0.0203644149,-0.0098398051,0.0160387327
D0049,-0.0173658094,-0.0161001453,-0.0046911627,0.0240943700,-0.0065621544
D0050,-0.0046272604,-0.0014430396,0.0092679507,-0.0054459186,-0.0023811573
D0051,0.0112490767,0.0093582517,0.0073582774,-0.0023565013,-0.0123267217
D0052,-0.0028245874,-0.0029340191,-0.0015214990,-0.0035238975,0.0035284602
D0053,0.0145111125,0.0102661764,0.0134556517,-0.0012115522,0.0010660179
D0054,-0.0095236639,-0.0047580615,-0.0063643893,0.0167945440,0.0177159475
D0055,0.0058235211,0.0005445135,-0.0059176835,0.0071723991,0.0032594749
D0056,0.0071303526,-0.0029123124,0.0047246264,0.0021716412,-0.0099332719
D0057,-0.0060585291,-0.0027218417,-0.0030603246,-0.0010202950,-0.0012276399
D0058,-0.0030158877,-0.0012186369,0.0080426357,-0.0173884059,-0.0049359524
D0059,0.0029224227,0.0032984029,0.0008089174,-0.0131113714,0.0006192539
D0060,0.0244150143,0.0093270727,0.0176698429,-0.0058326557,-0.0006858559
D0061,-0.0141156113,-0.0106235576,-0.0029844241,0.0067930815,0.0171803128
